hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,bookingID,date_str,arrival_date,total_stay,lead_time_bracket,adr_category,total_nights,estimated_revenue
"Renaissance New York Times Square Hotel New York, NY",1,74,2019,July,30,23,4,5,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,145.56,0,1,Canceled,2019-05-28,14103,2019-July-23,2019-07-23,9,61-90 Hari,Premium Price,9,1310.04
"Courtyard by Marriott Toulouse Airport Toulouse, France",0,2,2018,July,28,9,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,0,Transient,116.27,0,1,Check-Out,2018-07-10,14104,2018-July-9,2018-07-09,1,0-30 Hari,High Price,1,116.27
"Albuquerque Airport Courtyard Albuquerque, NM",1,59,2018,October,42,13,0,3,2,0.0,0,BB,USA,Direct,Direct,0,0,0,D,D,0,No Deposit,14.0,0,Transient,128.7,0,0,Canceled,2018-10-10,14105,2018-October-13,2018-10-13,3,31-60 Hari,Premium Price,3,386.09999999999997
"Fort Worth University Drive Courtyard Fort Worth, TX",0,213,2018,August,32,2,0,5,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,0,Transient,108.95,1,1,Check-Out,2018-08-07,14106,2018-August-2,2018-08-02,5,181-360 Hari,High Price,5,544.75
"African Pride Melrose Arch, Autograph Collection Johannesburg, South Africa",0,122,2018,August,35,21,3,5,3,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,22.0,0,Transient,105.9,1,0,Check-Out,2018-08-29,14107,2018-August-21,2018-08-21,8,91-180 Hari,High Price,8,847.2
"The Ritz-Carlton, Tokyo Tokyo, Japan",0,0,2018,December,51,13,0,2,1,0.0,0,BB,PRT,Corporate,Corporate,1,0,7,A,E,0,No Deposit,0.0,0,Transient,30.0,0,0,Check-Out,2018-12-15,14108,2018-December-13,2018-12-13,2,,Low Price,2,60.0
"Greensboro Courtyard Greensboro, NC",0,462,2019,July,26,1,2,1,2,0.0,0,BB,GBR,Groups,TA/TO,0,0,0,A,A,0,No Deposit,229.0,0,Transient-Party,112.67,0,2,Check-Out,2019-07-04,14109,2019-July-1,2019-07-01,3,>360 Hari,High Price,3,338.01
"Irvine John Wayne Airport/Orange County Courtyard Irvine, CA",0,0,2019,March,13,29,0,1,1,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,1,No Deposit,0.0,0,Transient,103.0,0,0,Check-Out,2019-03-30,14110,2019-March-29,2019-03-29,1,,High Price,1,103.0
"The Ritz-Carlton, Tokyo Tokyo, Japan",0,16,2018,October,42,9,2,0,2,0.0,0,BB,PRT,Groups,Corporate,0,0,0,A,A,0,No Deposit,0.0,0,Transient-Party,55.0,0,1,Check-Out,2018-10-11,14111,2018-October-9,2018-10-09,2,0-30 Hari,Low Price,2,110.0
"Orlando International Drive/Convention Center Courtyard Orlando, FL",0,1,2018,July,28,6,0,1,1,0.0,0,BB,FRA,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,0,Transient,118.15,0,0,Check-Out,2018-07-07,14112,2018-July-6,2018-07-06,1,0-30 Hari,High Price,1,118.15
"W New York – Union Square New York, NY",0,174,2018,September,39,22,0,3,1,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,0,Transient-Party,95.67,0,0,Check-Out,2018-09-25,14113,2018-September-22,2018-09-22,3,91-180 Hari,High Price,3,287.01
"Grosvenor House, A JW Marriott Hotel London, United Kingdom",0,31,2019,August,35,31,0,3,2,0.0,0,BB,LUX,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,152.67,0,1,Check-Out,2019-09-03,14114,2019-August-31,2019-08-31,3,31-60 Hari,Premium Price,3,458.01
"Heidelberg Marriott Hotel Heidelberg, Germany",0,154,2018,May,21,17,2,7,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0,Transient,52.2,0,1,Check-Out,2018-05-26,14115,2018-May-17,2018-05-17,9,91-180 Hari,Low Price,9,469.8
"Residence Inn Las Vegas Convention Center Las Vegas, NV ",0,61,2018,December,49,2,0,2,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,0,Transient,102.6,0,2,Check-Out,2018-12-04,14116,2018-December-2,2018-12-02,2,61-90 Hari,High Price,2,205.2
"The St. Regis Osaka Osaka, Japan",1,304,2017,August,34,17,1,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,0,Transient-Party,62.0,0,0,Canceled,2017-07-02,14117,2017-August-17,2017-08-17,2,181-360 Hari,Low Price,2,124.0
"Newark Liberty International Airport Courtyard Newark, NJ",1,56,2019,March,12,21,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,86.0,0,Transient,85.0,0,0,Canceled,2019-01-24,14118,2019-March-21,2019-03-21,3,31-60 Hari,Medium Price,3,255.0
"Frankfurt Marriott Hotel Frankfurt, Germany",0,140,2018,December,49,2,0,1,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,0,Transient,54.0,0,1,Check-Out,2018-12-03,14119,2018-December-2,2018-12-02,1,91-180 Hari,Low Price,1,54.0
"Colony Club, Barbados Barbados",0,107,2018,July,29,13,0,4,3,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,0,Transient,189.0,0,2,Check-Out,2018-07-17,14120,2018-July-13,2018-07-13,4,91-180 Hari,Premium Price,4,756.0
"Leipzig Marriott Hotel Leipzig, Germany",0,139,2018,October,43,21,2,5,3,0.0,0,HB,FRA,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,314.0,0,Transient,96.4,0,0,Check-Out,2018-10-28,14121,2018-October-21,2018-10-21,7,91-180 Hari,High Price,7,674.8000000000001
"Las Vegas Marriott Las Vegas, NV ",0,49,2018,May,23,30,1,0,1,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,121.5,0,1,Check-Out,2018-05-31,14122,2018-May-30,2018-05-30,1,31-60 Hari,High Price,1,121.5
"Tamarind, Barbados Barbados",0,110,2019,April,17,29,1,1,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,0,Transient,99.0,0,1,Check-Out,2019-05-01,14123,2019-April-29,2019-04-29,2,91-180 Hari,High Price,2,198.0
"Indianapolis Airport Courtyard Indianapolis, IN",0,180,2018,October,42,10,1,2,1,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,234.0,0,Transient-Party,120.0,0,0,Check-Out,2018-10-13,14125,2018-October-10,2018-10-10,3,91-180 Hari,High Price,3,360.0
"Baton Rouge Acadian Centre/LSU Area Courtyard Baton Rouge, LA",0,52,2019,March,11,13,1,3,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,2,No Deposit,28.0,0,Transient,75.0,0,0,Check-Out,2019-03-17,14126,2019-March-13,2019-03-13,4,31-60 Hari,Medium Price,4,300.0
"W New York – Union Square New York, NY",0,108,2018,April,18,24,2,3,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,240.0,0,Transient,44.1,0,0,Check-Out,2018-04-29,14127,2018-April-24,2018-04-24,5,91-180 Hari,Low Price,5,220.5
"Des Moines West/Clive Courtyard Clive, IA",1,59,2018,November,46,12,9,21,1,0.0,0,BB,SWE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0,Transient,37.7,0,1,Canceled,2018-10-19,14128,2018-November-12,2018-11-12,30,31-60 Hari,Low Price,30,1131.0
"Sheraton Diana Majestic, Milan Milan, Italy",1,92,2019,March,11,15,0,3,2,0.0,0,BB,PRT,Groups,Direct,0,0,0,A,A,0,Non Refund,0.0,0,Transient,85.0,0,0,Canceled,2018-12-13,14129,2019-March-15,2019-03-15,3,91-180 Hari,Medium Price,3,255.0
"Residence Inn Las Vegas Convention Center Las Vegas, NV ",0,152,2018,August,35,23,2,5,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,98.87,0,0,Check-Out,2018-08-30,14130,2018-August-23,2018-08-23,7,91-180 Hari,High Price,7,692.09
"Waves, Barbados Barbados",1,245,2018,October,45,31,1,4,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0,Transient,48.0,0,1,Canceled,2018-04-26,14131,2018-October-31,2018-10-31,5,181-360 Hari,Low Price,5,240.0
"Sheraton Lima Hotel & Convention Center Lima, Peru",1,57,2019,May,20,16,2,6,2,0.0,0,SC,EGY,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,144.0,0,0,Canceled,2019-04-20,14132,2019-May-16,2019-05-16,8,31-60 Hari,Premium Price,8,1152.0
"Chicago O'Hare Courtyard Des Plaines, IL",0,140,2019,July,29,22,2,5,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,2,No Deposit,9.0,0,Transient,141.71,0,1,Check-Out,2019-07-29,14133,2019-July-22,2019-07-22,7,91-180 Hari,Premium Price,7,991.97
"Fort Worth University Drive Courtyard Fort Worth, TX",0,115,2018,October,44,23,2,1,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9.0,0,Transient,98.7,0,0,Check-Out,2018-10-26,14134,2018-October-23,2018-10-23,3,91-180 Hari,High Price,3,296.1
"Spokane Downtown at the Convention Center Courtyard Spokane, WA",0,8,2018,June,25,14,0,2,1,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,7.0,0,Transient,76.08,0,0,Check-Out,2018-06-16,14135,2018-June-14,2018-06-14,2,0-30 Hari,Medium Price,2,152.16
"Berlin Marriott Hotel Berlin, Germany",1,4,2017,October,43,19,1,0,2,0.0,0,BB,PRT,Online TA,Corporate,0,1,0,A,A,0,No Deposit,47.0,0,Transient,90.0,0,0,Canceled,2017-10-17,14136,2017-October-19,2017-10-19,1,0-30 Hari,Medium Price,1,90.0
"Leipzig Marriott Hotel Leipzig, Germany",0,36,2017,November,47,20,0,2,2,0.0,0,FB,ESP,Groups,TA/TO,0,0,0,A,A,0,No Deposit,38.0,0,Transient-Party,64.0,0,0,Check-Out,2017-11-22,14137,2017-November-20,2017-11-20,2,31-60 Hari,Low Price,2,128.0
"Sheraton Grand Rio Hotel & Resort Rio de Janeiro, Brazil",1,47,2017,August,33,10,1,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,0,Transient,192.0,0,1,Canceled,2017-06-25,14138,2017-August-10,2017-08-10,3,31-60 Hari,Premium Price,3,576.0
"St. Louis Downtown West Courtyard St. Louis, MO",0,7,2017,October,44,30,2,2,2,0.0,0,BB,CPV,Direct,Direct,0,0,0,E,E,2,No Deposit,0.0,0,Transient,36.0,0,0,Check-Out,2017-11-03,14139,2017-October-30,2017-10-30,4,0-30 Hari,Low Price,4,144.0
"Baton Rouge Acadian Centre/LSU Area Courtyard Baton Rouge, LA",1,104,2017,August,36,30,2,1,2,0.0,0,HB,ESP,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,0,Transient,90.0,0,0,Canceled,2017-07-22,14140,2017-August-30,2017-08-30,3,91-180 Hari,Medium Price,3,270.0
"Anaheim Marriott Anaheim, CA",1,221,2017,October,40,3,2,1,2,0.0,0,HB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,0,Transient-Party,86.0,0,0,Canceled,2017-07-09,14142,2017-October-3,2017-10-03,3,181-360 Hari,Medium Price,3,258.0
"Waves, Barbados Barbados",0,12,2018,June,24,5,2,4,3,0.0,0,HB,ESP,Direct,Direct,0,0,0,A,A,1,No Deposit,250.0,0,Transient,202.67,1,0,Check-Out,2018-06-11,14143,2018-June-5,2018-06-05,6,0-30 Hari,Premium Price,6,1216.02
"San Diego Sorrento Valley Courtyard San Diego, CA",0,336,2018,September,39,21,1,4,2,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,F,0,No Deposit,21.0,0,Transient-Party,78.0,0,0,Check-Out,2018-09-26,14144,2018-September-21,2018-09-21,5,181-360 Hari,Medium Price,5,390.0
"Des Moines West/Clive Courtyard Clive, IA",1,237,2018,August,32,1,1,4,2,0.0,0,BB,PRT,Online TA,TA/TO,0,1,0,A,A,0,No Deposit,240.0,0,Transient,126.0,0,0,Canceled,2017-12-10,14145,2018-August-1,2018-08-01,5,181-360 Hari,High Price,5,630.0
"Courtyard by Marriott Rio de Janeiro Barra da Tijuca Barra da Tijuca, Brazil",0,97,2019,May,21,26,2,2,2,0.0,0,BB,CHE,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,0,Transient,142.5,0,1,Check-Out,2019-05-30,14146,2019-May-26,2019-05-26,4,91-180 Hari,Premium Price,4,570.0
"The Ritz-Carlton, Berlin Berlin, Germany",0,267,2019,March,13,29,0,4,2,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8.0,0,Transient,94.95,0,1,Check-Out,2019-04-02,14147,2019-March-29,2019-03-29,4,181-360 Hari,Medium Price,4,379.8
"Newark Liberty International Airport Courtyard Newark, NJ",0,36,2018,December,52,18,2,2,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,88.4,0,1,Check-Out,2018-12-22,14148,2018-December-18,2018-12-18,4,31-60 Hari,Medium Price,4,353.6
"Chicago O'Hare Courtyard Des Plaines, IL",1,62,2019,May,21,22,1,3,2,2.0,0,BB,GBR,Online TA,TA/TO,0,0,0,C,C,2,No Deposit,240.0,0,Transient,125.0,0,1,Canceled,2019-03-21,14149,2019-May-22,2019-05-22,4,61-90 Hari,High Price,4,500.0
"Courtyard by Marriott Paris Gare de Lyon Paris, France",1,277,2018,June,25,12,2,2,2,0.0,0,Undefined,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,0.0,0,Transient,110.0,0,0,Canceled,2018-03-29,14150,2018-June-12,2018-06-12,4,181-360 Hari,High Price,4,440.0
"Sheraton Diana Majestic, Milan Milan, Italy",0,1,2018,April,15,6,2,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0,Transient,65.0,0,1,Check-Out,2018-04-13,14151,2018-April-6,2018-04-06,7,0-30 Hari,Low Price,7,455.0
"Courtyard by Marriott Toulouse Airport Toulouse, France",1,205,2019,June,25,23,2,7,2,2.0,0,BB,POL,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,0,Transient,180.0,0,0,Canceled,2019-05-11,14152,2019-June-23,2019-06-23,9,181-360 Hari,Premium Price,9,1620.0
"W Barcelona Barcelona, Spain",1,357,2019,May,21,24,0,2,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,99.0,0,0,Canceled,2019-05-05,14153,2019-May-24,2019-05-24,2,181-360 Hari,High Price,2,198.0
"W New York – Union Square New York, NY",0,36,2019,February,5,4,1,1,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,242.0,0,Transient-Party,40.85,0,1,Check-Out,2019-02-06,14154,2019-February-4,2019-02-04,2,31-60 Hari,Low Price,2,81.7
"Treasure Beach, Barbados Barbados",0,128,2019,July,29,16,2,3,2,0.0,0,BB,ITA,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,0,Transient,108.0,0,0,Check-Out,2019-07-21,14155,2019-July-16,2019-07-16,5,91-180 Hari,High Price,5,540.0
"Residence Inn Las Vegas Convention Center Las Vegas, NV ",0,134,2019,August,33,15,0,4,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,K,0,No Deposit,9.0,0,Transient,125.0,0,2,Check-Out,2019-08-19,14156,2019-August-15,2019-08-15,4,91-180 Hari,High Price,4,500.0
"Orlando Airport Courtyard Orlando, FL",1,62,2018,April,18,24,2,2,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,314.0,0,Transient,52.56,0,0,Canceled,2018-04-14,14157,2018-April-24,2018-04-24,4,61-90 Hari,Low Price,4,210.24
"Hotel Maria Cristina, San Sebastian San Sebastian, Spain",0,47,2018,October,41,2,2,3,2,0.0,0,SC,NLD,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,7.0,0,Transient,79.0,0,2,Check-Out,2018-10-07,14158,2018-October-2,2018-10-02,5,31-60 Hari,Medium Price,5,395.0
"Residence Inn Rio de Janeiro Barra da Tijuca Barra da Tijuca, Brazil",0,40,2018,April,16,11,1,2,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8.0,0,Transient,105.3,0,1,Check-Out,2018-04-14,14159,2018-April-11,2018-04-11,3,31-60 Hari,High Price,3,315.9
"Protea Hotel by Marriott Cape Town Sea Point Cape Town, South Africa",1,109,2018,February,9,21,2,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,19.0,44,Transient,75.0,0,0,Canceled,2017-12-18,14160,2018-February-21,2018-02-21,3,91-180 Hari,Medium Price,3,225.0
"The House, Barbados Barbados",0,117,2018,February,10,29,1,1,1,0.0,0,BB,LBY,Offline TA/TO,TA/TO,0,0,0,A,A,2,No Deposit,134.0,0,Transient-Party,75.0,0,0,Check-Out,2018-03-02,14161,2018-February-29,,2,91-180 Hari,Medium Price,2,150.0
"African Pride Melrose Arch, Autograph Collection Johannesburg, South Africa",0,5,2018,August,35,26,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,149.0,0,2,Check-Out,2018-08-28,14162,2018-August-26,2018-08-26,2,0-30 Hari,Premium Price,2,298.0
"Frankfurt Marriott Hotel Frankfurt, Germany",0,82,2019,May,18,2,0,3,2,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,28.0,0,Transient,89.1,0,0,Check-Out,2019-05-05,14163,2019-May-2,2019-05-02,3,61-90 Hari,Medium Price,3,267.29999999999995
"Berlin Marriott Hotel Berlin, Germany",1,81,2019,February,5,2,0,3,1,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,4,No Deposit,240.0,0,Transient-Party,37.0,0,1,Canceled,2019-01-14,14164,2019-February-2,2019-02-02,3,61-90 Hari,Low Price,3,111.0
"Albuquerque Airport Courtyard Albuquerque, NM",0,29,2017,November,45,1,2,4,2,0.0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,156.0,0,Transient,33.3,0,1,Check-Out,2017-11-07,14165,2017-November-1,2017-11-01,6,0-30 Hari,Low Price,6,199.79999999999998
"Renaissance Santo Domingo Jaragua Hotel & Casino Santo Domingo, Dominican Republic",1,75,2018,March,12,17,1,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,6.0,0,Transient,80.0,0,0,Canceled,2018-02-03,14166,2018-March-17,2018-03-17,4,61-90 Hari,Medium Price,4,320.0
"Chicago O'Hare Courtyard Des Plaines, IL",0,542,2018,September,40,26,2,5,2,0.0,0,HB,GBR,Groups,TA/TO,0,0,0,A,A,0,No Deposit,253.0,0,Transient-Party,68.0,0,0,Check-Out,2018-10-03,14167,2018-September-26,2018-09-26,7,>360 Hari,Low Price,7,476.0
"W New York – Union Square New York, NY",1,36,2018,March,13,24,1,3,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,0,Transient,108.75,0,1,Canceled,2018-03-19,14168,2018-March-24,2018-03-24,4,31-60 Hari,High Price,4,435.0
"Orlando International Drive/Convention Center Courtyard Orlando, FL",0,1,2018,February,10,29,1,2,1,0.0,0,BB,LBY,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,134.0,0,Transient-Party,76.0,0,0,Check-Out,2018-03-03,14169,2018-February-29,,3,0-30 Hari,Medium Price,3,228.0
"Residence Inn Las Vegas Convention Center Las Vegas, NV ",1,70,2019,March,10,11,2,5,2,0.0,0,SC,ARE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,74.8,0,1,Canceled,2019-02-22,14170,2019-March-11,2019-03-11,7,61-90 Hari,Medium Price,7,523.6
"Residence Inn Las Vegas Convention Center Las Vegas, NV ",1,129,2019,June,25,24,2,1,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,30.0,0,Transient,120.0,0,0,Canceled,2019-02-15,14171,2019-June-24,2019-06-24,3,91-180 Hari,High Price,3,360.0
"Sheraton Diana Majestic, Milan Milan, Italy",1,104,2018,April,15,5,0,2,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,0,Transient,96.0,0,0,Canceled,2018-01-19,14172,2018-April-5,2018-04-05,2,91-180 Hari,High Price,2,192.0
"W Barcelona Barcelona, Spain",0,195,2017,September,37,7,1,5,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,0,Transient,89.25,0,1,Check-Out,2017-09-13,14173,2017-September-7,2017-09-07,6,181-360 Hari,Medium Price,6,535.5
"Waves, Barbados Barbados",0,63,2019,July,28,12,2,5,3,2.0,0,BB,DNK,Direct,Direct,0,0,0,G,G,0,No Deposit,0.0,0,Transient,300.71,0,2,Check-Out,2019-07-19,14174,2019-July-12,2019-07-12,7,61-90 Hari,Premium Price,7,2104.97
"Anaheim Marriott Anaheim, CA",0,43,2019,June,25,21,2,5,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,531.0,0,Transient,135.4,0,2,Check-Out,2019-06-28,14175,2019-June-21,2019-06-21,7,31-60 Hari,Premium Price,7,947.8000000000001
"Protea Hotel by Marriott Cape Town Sea Point Cape Town, South Africa",1,76,2018,November,45,3,0,3,2,0.0,0,BB,IND,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,93.6,0,1,Canceled,2018-10-26,14176,2018-November-3,2018-11-03,3,61-90 Hari,Medium Price,3,280.79999999999995
"Protea Hotel Fire & Ice! by Marriott Johannesburg Melrose Arch Johannesburg, South Africa",0,120,2019,August,33,16,0,4,2,0.0,0,HB,HUN,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,9.0,0,Transient-Party,183.0,0,2,Check-Out,2019-08-20,14177,2019-August-16,2019-08-16,4,91-180 Hari,Premium Price,4,732.0
"Albuquerque Airport Courtyard Albuquerque, NM",0,6,2019,April,17,26,0,1,1,0.0,0,BB,ESP,Direct,Direct,0,0,0,D,D,0,No Deposit,14.0,0,Transient,185.0,0,0,Check-Out,2019-04-27,14178,2019-April-26,2019-04-26,1,0-30 Hari,Premium Price,1,185.0
"African Pride Melrose Arch, Autograph Collection Johannesburg, South Africa",0,267,2018,October,44,25,0,2,2,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,27.0,0,Transient,80.75,0,0,Check-Out,2018-10-27,14179,2018-October-25,2018-10-25,2,181-360 Hari,Medium Price,2,161.5
"Waves, Barbados Barbados",0,156,2019,May,19,8,2,5,1,0.0,0,HB,IRL,Groups,TA/TO,0,0,0,A,A,0,No Deposit,434.0,0,Transient-Party,60.0,0,0,Check-Out,2019-05-15,14180,2019-May-8,2019-05-08,7,91-180 Hari,Low Price,7,420.0
"Louisville East Courtyard Louisville, KY",0,11,2019,January,2,9,1,3,1,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,171.0,0,Transient,30.0,0,0,Check-Out,2019-01-13,14181,2019-January-9,2019-01-09,4,0-30 Hari,Low Price,4,120.0
"The Ritz-Carlton, Tokyo Tokyo, Japan",0,272,2017,August,34,17,3,6,2,3.0,0,BB,BEL,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,0,Transient,199.0,0,3,Check-Out,2017-08-26,14182,2017-August-17,2017-08-17,9,181-360 Hari,Premium Price,9,1791.0
"Turtle Beach, Barbados Barbados",0,0,2019,June,25,22,0,1,1,0.0,0,BB,PRT,Corporate,Direct,1,0,1,A,D,0,No Deposit,0.0,0,Transient,75.0,0,0,Check-Out,2019-06-23,14183,2019-June-22,2019-06-22,1,,Medium Price,1,75.0
"Louisville East Courtyard Louisville, KY",0,113,2019,May,19,7,4,7,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40.0,0,Contract,40.95,0,2,Check-Out,2019-05-18,14184,2019-May-7,2019-05-07,11,91-180 Hari,Low Price,11,450.45000000000005
"Hotel Alfonso XIII, a Luxury Collection Hotel, Seville Seville, Spain",0,2,2018,July,29,12,0,2,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,E,E,1,No Deposit,0.0,0,Transient,171.0,1,1,Check-Out,2018-07-14,14185,2018-July-12,2018-07-12,2,0-30 Hari,Premium Price,2,342.0
"Renaissance Hamburg Hotel Hamburg, Germany",0,22,2019,February,7,12,1,0,2,2.0,0,BB,USA,Online TA,TA/TO,0,0,0,C,C,0,No Deposit,242.0,0,Transient,73.06,0,1,Check-Out,2019-02-13,14186,2019-February-12,2019-02-12,1,0-30 Hari,Medium Price,1,73.06
"Courtyard by Marriott Toulouse Airport Toulouse, France",0,457,2019,August,34,25,0,2,1,0.0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,2,No Deposit,6.0,0,Transient-Party,95.5,0,1,Check-Out,2019-08-27,14187,2019-August-25,2019-08-25,2,>360 Hari,High Price,2,191.0
"Fort Worth University Drive Courtyard Fort Worth, TX",0,1,2019,February,5,3,0,1,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,1,0,1,A,A,0,No Deposit,330.0,0,Group,37.0,1,1,Check-Out,2019-02-04,14188,2019-February-3,2019-02-03,1,0-30 Hari,Low Price,1,37.0
"Courtyard by Marriott Paris Gare de Lyon Paris, France",0,57,2018,November,48,22,0,1,2,0.0,0,SC,CN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,0,Transient,60.98,0,1,Check-Out,2018-11-23,14189,2018-November-22,2018-11-22,1,31-60 Hari,Low Price,1,60.98
"The Westin Peachtree Plaza, Atlanta Atlanta, GA ",1,23,2019,July,30,26,1,4,2,1.0,0,BB,CHE,Online TA,TA/TO,0,0,0,C,C,1,No Deposit,240.0,0,Transient-Party,255.0,0,2,No-Show,2019-07-26,14190,2019-July-26,2019-07-26,5,0-30 Hari,Premium Price,5,1275.0
"Residence Inn Las Vegas Convention Center Las Vegas, NV ",1,49,2017,November,48,26,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,0.0,0,Transient,85.5,0,0,No-Show,2017-11-26,14192,2017-November-26,2017-11-26,1,31-60 Hari,Medium Price,1,85.5
